product_category_name,order_purchase_timestamp,order_quantity
alimentos,2018-05-14,5
alimentos,2018-05-15,6
alimentos,2018-05-16,3
alimentos,2018-05-17,1
alimentos,2018-05-19,5
alimentos,2018-05-21,2
alimentos,2018-05-22,2
alimentos,2018-05-30,1
alimentos,2018-06-03,1
alimentos,2018-06-04,1
alimentos,2018-06-05,1
alimentos,2018-06-06,1
alimentos,2018-06-08,1
alimentos,2018-06-09,2
alimentos,2018-06-11,4
alimentos,2018-06-12,3
alimentos,2018-06-13,1
alimentos,2018-06-17,1
alimentos,2018-06-19,1
alimentos,2018-06-20,1
alimentos,2018-06-24,1
alimentos,2018-06-25,1
alimentos,2018-06-26,1
alimentos,2018-06-27,1
alimentos,2018-06-29,2
alimentos,2018-07-02,3
alimentos,2018-07-03,2
alimentos,2018-07-04,1
alimentos,2018-07-05,3
alimentos,2018-07-08,3
alimentos,2018-07-09,1
alimentos,2018-07-11,1
alimentos,2018-07-13,3
alimentos,2018-07-14,3
alimentos,2018-07-15,4
alimentos,2018-07-16,2
alimentos,2018-07-17,1
alimentos,2018-07-18,2
alimentos,2018-07-19,4
alimentos,2018-07-20,1
alimentos,2018-07-21,1
alimentos,2018-07-22,4
alimentos,2018-07-24,4
alimentos,2018-07-25,2
alimentos,2018-07-26,5
alimentos,2018-07-27,1
alimentos,2018-07-28,3
alimentos,2018-07-29,4
alimentos,2018-07-30,4
alimentos,2018-07-31,2
alimentos,2018-08-02,2
alimentos,2018-08-03,2
alimentos,2018-08-04,2
alimentos,2018-08-05,7
alimentos,2018-08-06,5
alimentos,2018-08-07,7
alimentos,2018-08-08,5
alimentos,2018-08-09,3
alimentos,2018-08-10,4
alimentos,2018-08-11,1
alimentos,2018-08-12,2
alimentos,2018-08-13,5
alimentos,2018-08-14,5
alimentos,2018-08-15,4
alimentos,2018-08-16,5
alimentos,2018-08-17,11
alimentos,2018-08-18,3
alimentos,2018-08-19,6
alimentos,2018-08-20,11
alimentos,2018-08-21,4
alimentos,2018-08-22,4
alimentos,2018-08-23,2
alimentos,2018-08-24,6
alimentos,2018-08-25,1
alimentos,2018-08-26,2
alimentos,2018-08-27,4
alimentos,2018-08-28,2
alimentos,2018-08-29,1
casa_construcao,2017-02-09,1
casa_construcao,2017-02-18,2
casa_construcao,2017-02-25,1
casa_construcao,2017-03-07,6
casa_construcao,2017-03-13,1
casa_construcao,2017-03-15,1
casa_construcao,2017-03-24,1
casa_construcao,2017-03-25,1
casa_construcao,2017-04-09,1
casa_construcao,2017-04-12,1
casa_construcao,2017-04-20,1
casa_construcao,2017-04-23,1
casa_construcao,2017-04-28,1
casa_construcao,2017-05-02,1
casa_construcao,2017-05-09,1
casa_construcao,2017-05-18,4
casa_construcao,2017-05-27,1
casa_construcao,2017-06-03,5
casa_construcao,2017-06-12,1
casa_construcao,2017-06-26,1
casa_construcao,2017-06-27,1
casa_construcao,2017-07-27,2
casa_construcao,2017-08-16,1
